Nazwa kliniki,Województwo,Typ kliniki,Liczba pracowników,Źródło leada,Liczba rozmów,Liczba maili,Otworzył prezentację,Demo przeprowadzone,Wysłał zapytanie,Brał udział w webinarium,Czas odpowiedzi (h),Kupiono
FPUH Choroś-Front Sp.k.,pomorskie,uczelniana,3,targi,0,2,0,0,1,0,19,0
Stowarzyszenie Sumera S.A.,śląskie,uczelniana,20,polecenie,1,4,1,1,1,0,7,1
Wawszczyk-Łabno Sp.k.,mazowieckie,ogólna,14,targi,0,0,0,0,0,1,51,0
Spółdzielnia Dejneka,dolnośląskie,ogólna,19,polecenie,2,2,0,0,1,0,23,0
Spółdzielnia Supernak-Osik s.c.,mazowieckie,specjalistyczna,29,targi,2,2,0,1,1,0,45,0
Habdas Sp.j.,mazowieckie,specjalistyczna,19,strona WWW,3,2,0,0,1,1,42,0
FPUH Nogieć,mazowieckie,specjalistyczna,28,targi,3,2,1,0,1,0,6,1
Halik-Kędziorek Sp.k.,śląskie,uczelniana,14,cold call,3,1,0,1,0,0,48,0
Zajko Sp.k.,pomorskie,uczelniana,13,strona WWW,1,1,1,0,1,0,7,1
Młyńczyk-Malcher Sp. z o.o. Sp.k.,śląskie,uczelniana,21,targi,1,2,0,0,0,0,27,0
Ślęczka-Lulek i syn s.c.,pomorskie,mobilna,26,polecenie,3,2,0,0,0,0,22,0
Stowarzyszenie Malecha,pomorskie,specjalistyczna,18,targi,3,1,1,1,1,0,5,1
Palak i syn s.c.,pomorskie,ogólna,21,polecenie,2,2,0,0,1,1,28,0
Kowalówka-Rok Sp. z o.o. Sp.k.,śląskie,ogólna,4,cold call,0,1,0,0,0,1,15,0
FPUH Kujda-Tatarczuk Sp.k.,śląskie,specjalistyczna,24,polecenie,1,0,0,0,0,1,62,0
Bodzak Sp. z o.o.,wielkopolskie,ogólna,20,mailing,2,1,0,0,0,1,16,0
PPUH Ćwierz Sp.j.,wielkopolskie,ogólna,18,strona WWW,1,0,1,1,1,1,1,1
Szyca-Radzewicz Sp. z o.o. Sp.k.,śląskie,uczelniana,27,cold call,3,1,1,1,1,0,8,1
Grupa Chwedczuk,mazowieckie,ogólna,14,polecenie,0,5,1,1,1,0,1,1
Fundacja Torbus-Kocoł i syn s.c.,wielkopolskie,uczelniana,9,targi,0,0,0,1,0,1,31,0
Stowarzyszenie Kazubek s.c.,śląskie,specjalistyczna,15,cold call,0,0,0,0,0,1,19,0
Stowarzyszenie Nowek i syn s.c.,wielkopolskie,uczelniana,24,mailing,3,0,0,1,1,1,66,0
Usarek i syn s.c.,wielkopolskie,ogólna,3,mailing,3,0,0,1,1,1,15,0
Stowarzyszenie Sierota,śląskie,uczelniana,5,mailing,1,0,0,0,1,1,16,0
Spółdzielnia Trepczyk-Keler Sp.j.,wielkopolskie,specjalistyczna,23,polecenie,4,0,1,1,1,0,6,1
Stowarzyszenie Gwara S.A.,mazowieckie,uczelniana,21,mailing,3,1,0,1,1,1,2,1
Stowarzyszenie Dynak Sp.j.,śląskie,mobilna,11,strona WWW,0,2,0,0,1,0,16,0
Giersz-Kapka s.c.,mazowieckie,specjalistyczna,10,targi,2,2,0,0,0,0,46,0
Fundacja Jeka Sp.k.,pomorskie,uczelniana,10,targi,1,1,0,0,1,1,41,0
Kurp-Andrys Sp. z o.o. Sp.k.,śląskie,uczelniana,19,cold call,3,6,0,1,1,0,5,1
Kuba Sp. z o.o. Sp.k.,wielkopolskie,specjalistyczna,15,strona WWW,0,0,0,0,0,1,12,0
Helak i syn s.c.,mazowieckie,mobilna,26,mailing,2,6,0,0,1,1,4,1
Gabinety Kuban S.A.,śląskie,uczelniana,2,strona WWW,3,2,0,0,0,1,28,0
Wydrych-Goliszek Sp.j.,śląskie,ogólna,14,targi,2,1,0,0,0,0,42,0
Sobków-Chojna i syn s.c.,śląskie,ogólna,23,strona WWW,1,0,0,0,0,1,37,0
Grupa Mytych-Herdzik Sp. z o.o.,pomorskie,mobilna,2,targi,2,0,0,0,1,0,59,0
Spółdzielnia Żyrek s.c.,wielkopolskie,mobilna,15,mailing,2,0,0,0,0,1,63,0
Leoniuk-Konat Sp.k.,mazowieckie,specjalistyczna,13,cold call,0,1,0,0,1,1,63,0
Spółdzielnia Władyka-Wojtaszczyk Sp.k.,pomorskie,mobilna,23,cold call,5,2,1,1,1,1,5,1
Grupa Siekierka,pomorskie,mobilna,14,mailing,2,2,0,1,0,0,30,0
Fundacja Błażejak Sp.k.,dolnośląskie,uczelniana,16,strona WWW,2,1,0,0,0,0,49,0
Grupa Maleszka s.c.,mazowieckie,specjalistyczna,23,polecenie,1,2,0,1,0,0,50,0
